x,t
0,0.5241671471774851
1,-0.045829930779468495
2,0.0219572797935951
3,-0.002339083310724057
4,0.0017921690729453372
5,-5.218923807875176E-05
6,0.000206319934149023
7,2.4513614627952338E-05
8,3.139734195411726E-05
9,7.606637839283513E-06
10,4.085718278891365E-06
