x,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_11
1.8684342171085542,0.308730350074523,-1.9986390496820419,4.316327426590177,-2.2267267306752743,-2.973524932880416,0.8737050893708195,2.991423118151965,1.6127372503616917,-1.1002596148454722,-2.598140067438525,-2.0044509536351263,-0.10284821443649417
1.8699349674837418,0.3082673703811867,-1.9974923704589849,4.319989420727418,-2.2391550877856905,-2.9714390729009317,0.8878519999388141,2.997110893547961,1.602531395914787,-1.1160404113700364,-2.605027355469537,-1.996622907861413,-0.085871594657982
1.8714357178589294,0.30780508498368614,-1.9963446357246075,4.323641816823454,-2.251590851120353,-2.9693078112871922,0.902013576867635,3.002741116500802,1.592257877955973,-1.1318190881952888,-2.6118312057505486,-1.9886924285662295,-0.0688535247061357
1.872936468234117,0.3073434928408381,-1.9951958512233896,4.327284618795892,-2.2640339624864474,-2.967131124786742,0.9161896170895052,3.0083136048767876,1.5819168752895578,-1.1475951658216557,-2.618551274882042,-1.9806597023693833,-0.05179471363811139
1.8744372186093046,0.3068825929130208,-1.994046022684956,4.3309178305971265,-2.27648436376138,-2.9649089905138064,0.9303799173709888,3.013828177563764,1.571508568289588,-1.163368164708029,-2.625187222095276,-1.972524919778616,-0.03469587248442707
1.8759379689844922,0.30642238416217127,-1.9928951558241064,4.334541456214168,-2.2889419968929685,-2.962641385948618,0.9445842743155436,3.019284654472884,1.5610331388946581,-1.1791376052840556,-2.631738709260775,-1.9642882751804116,-0.01755771421935659
1.8774387193596798,0.3059628655517834,-1.9917432563408493,4.3381554996685185,-2.3014068038996562,-2.960328288936763,0.9588024843660863,3.0246828565403647,1.550490770602706,-1.194903007962419,-2.638205400896755,-1.9559499668306997,-0.00038095373128976817
1.8789394697348674,0.30550403604690557,-1.9905903299204326,4.341759965016003,-2.3138787268707004,-2.957969677688504,0.9730343438075365,3.0300226057292052,1.5398816484657818,-1.2106638931510885,-2.644586964177437,-1.947510196845432,0.0168336922069372
1.880440220110055,0.3050458946141379,-1.9894363822333745,4.345354856346626,-2.326357707966368,-2.9555655307781135,0.9872796487693599,3.0353037250308987,1.529205959084805,-1.226419781265546,-2.650883068941276,-1.938969171191053,0.03408550496773666
1.8819409704852426,0.3045884402216304,-1.9882814189354951,4.348940177784423,-2.3388436894181392,-2.9531158271432028,1.0015381952281135,3.040526038467121,1.5184638906042909,-1.2421701927410036,-2.657093387699112,-1.9303270996748545,0.051373764098491925
1.8834417208604302,0.3041316718390805,-1.9871254456679492,4.352515933487319,-2.3513366135288987,-2.950620546084057,1.0158097790099752,3.0456893710914015,1.5076556327070754,-1.257914648044577,-2.663217595642214,-1.9215841959352278,0.06869774735128775
1.8849424712356178,0.3036755884377306,-1.9859684680572547,4.356082127646964,-2.363836422673125,-2.9480796672629492,1.0300941957932723,3.0507935489907654,1.4967813766089968,-1.2736526676874569,-2.669255370650246,-1.9127406774317888,0.08605673071268738
1.8864432216108054,0.30322018899036596,-1.9848104917153269,4.3596387644886025,-2.376343059297086,-2.9454931707034806,1.0443912411110035,3.0558383992873743,1.4858413150535887,-1.2893837722370374,-2.6752063932991366,-1.9037967654354073,0.10344998843351005
1.887943971985993,0.3027654724713122,-1.9836515222395077,4.363185848270917,-2.3888564659190257,-2.9428610367898957,1.0587007103533546,3.060823750140127,1.474835642306724,-1.3051074823290385,-2.681070346868861,-1.8947526850181164,0.12087679305864318
