x,funcSonya,funcSonya_transformed,funcDemian,funcDemian_transformed,funcIvan,funcIvan_transformed,funcStefa,funcStefa_transformed,funcYuliia,funcYuliia_transformed
4.266533066132265,0.5341881047916524,0.5378612341211577,0.41161337736470305,0.41177056284813474,0.6159672713315023,0.6340929131256218,0.3215324157767549,0.3334735513936026,-0.0008840420693717654,0.02404553353887892
4.276553106212425,0.5348820329911184,0.5386266500035396,0.410778143004749,0.4109373916043434,0.6250292678889493,0.6432352595428793,0.32630941338057856,0.33781040377216615,-0.0008444601395819501,0.024570093182854677
4.286573146292585,0.5355730975877389,0.5393879542918225,0.4099462439374224,0.4101074899914515,0.634133650295361,0.652409592350811,0.33111692450580993,0.34215709375242126,-0.0008061771163037273,0.025085249804941243
4.296593186372745,0.5362613160432534,0.5401451107980395,0.4091176605107316,0.409280836438834,0.64327950446744,0.6616146998206104,0.33595459173281844,0.3465130812306578,-0.0007691587440184167,0.025590673321958413
4.306613226452906,0.5369467056798403,0.5408980834248186,0.40829237322447254,0.4084574095446842,0.6524659121581047,0.6708493644438852,0.340822044290603,0.35087782161233527,-0.0007333714743510946,0.02608603406584336
4.316633266533065,0.5376292836814832,0.5416468361910914,0.40747036272878745,0.40763718807549754,0.6616919510486863,0.6801123630809447,0.34571889786173404,0.3552507658996184,-0.0006987824568441312,0.02657100295796623
4.326653306613226,0.5383090670953226,0.542391333257657,0.40665160982274307,0.40682015096556273,0.6709566948415298,0.6894024671097886,0.3506447543860929,0.35963136077959135,-0.000665359529677979,0.027045251682895365
4.336673346693386,0.5389860728329904,0.5431315389525856,0.4058360954529223,0.40600627731646327,0.6802592133529934,0.6987184425757599,0.3555992018634234,0.3640190487131216,-0.0006330712103472527,0.027508452861546538
4.346693386773547,0.5396603176719312,0.5438674177964646,0.4050238007120317,0.4051955463965844,0.6895985726068403,0.708059050341852,0.3605818141547183,0.3684132680243597,-0.0006018866862997651,0.027960280223646133
4.356713426853707,0.5403318182567072,0.5445989345274672,0.4042147068375259,0.40438793764062886,0.6989738349280095,0.7174230462396243,0.36559215078244955,0.3728134529908445,-0.0005717758055460088,0.028400408779441805
4.3667334669338675,0.5410005911002871,0.5453260541262462,0.40340879521024764,0.40358343064913793,0.7083840590367589,0.7268091812207063,0.37062975672966514,0.3772190339341913,-0.0005427090672462252,0.028828514990594446
4.376753507014028,0.5416666525853238,0.5460487418406368,0.4026060473530788,0.40278200518801993,0.7178283001431706,0.7362162015088587,0.3756941622379667,0.3816294373113412,-0.0005146576122819589,0.029244276940188024
4.386773547094188,0.542330018965414,0.5467669632101656,0.4018064449296115,0.40198364118808366,0.7273056100420074,0.7456428487525651,0.38078488260438875,0.38604408580634797,-0.0004875932138187211,0.029647374501791727
4.396793587174349,0.5429907063663455,0.5474806840903583,0.4010099697428311,0.4011883187445765,0.7368150372079139,0.7550878601781233,0.38590141797719674,0.3904623984226787,-0.00046148826786613105,0.030037489507515447
4.406813627254509,0.5436487307873294,0.5481898706768352,0.40021660373381307,0.4003960181167284,0.7463556268909486,0.7645499687432074,0.39104325315062466,0.3948837905760035,-0.00043631578384164643,0.030414305914993275
4.41683366733467,0.54430410810222,0.5488944895291916,0.3994263289804372,0.39960671972729966,0.7559264212124426,0.7740279032908767,0.39620985735857117,0.39930767418745533,-0.00041204937514375156,0.030777509973239907
4.426853707414829,0.5449568540607176,0.5495945075946512,0.3986391276961134,0.3988204041621317,0.7655264592611699,0.7835203887039958,0.40140068406727575,0.40373345777733155,-0.0003886632497402255,0.031126790387317697
4.43687374749499,0.5456069842895622,0.5502898922314923,0.39785498222852134,0.3980370521697019,0.7751547771898244,0.7930261460600464,0.40661517076699893,0.4081605465592208,-0.0003661322007768675,0.03146183848175883
4.44689378757515,0.5462545142937099,0.5509806112322343,0.3970738750583651,0.3972566446606826,0.7848104083117888,0.8025438927862932,0.4118527387627202,0.4125883425345253,-0.0003444315972118682,0.03178234836268713
