x,Gauss(μ=3λ λ=1),Gauss(μ=3λ λ=1)_transformed,Gauss(μ=6λ λ=1),Gauss(μ=6λ λ=1)_transformed,Gauss(μ=3λ λ=2),Gauss(μ=3λ λ=2)_transformed,Gauss(μ=6λ λ=2),Gauss(μ=6λ λ=2)_transformed
1,0.05399096651318806,0.054092479078032,1.4867195147342977E-06,4.334650759286535E-06,3.84729931335321E-23,-0.00011267861082836413,3.84729931335321E-23,-0.00011267861082836413
1.010011123470523,0.055080121592620816,0.05518085008107705,1.562953859946211E-06,6.875835536294142E-06,4.699205488012746E-23,-0.00010983905279574861,4.699205488012746E-23,-0.00010983905279574861
1.0200222469410456,0.05618561675250178,0.05628508864434939,1.642932597674659E-06,9.44714004395177E-06,5.737448407412964E-23,-0.00010646411361913269,5.737448407412964E-23,-0.00010646411361913269
1.0300333704115685,0.05730755614554733,0.05740530136152807,1.7268308935038888E-06,1.203727347694452E-05,7.002273112179879E-23,-0.00010256634480826468,7.002273112179879E-23,-0.00010256634480826468
1.0400444938820912,0.058446041016227045,0.05854159378713505,1.8148316587675152E-06,1.4634883877004515E-05,8.542504055573252E-23,-9.816027393573505E-05,8.542504055573252E-23,-9.816027393573505E-05
1.050055617352614,0.059601169601704015,0.059694070297657234,1.907125870902495E-06,1.722860653670399E-05,1.041734955341748E-22,-9.326231676590686E-05,1.041734955341748E-22,-9.326231676590686E-05
1.0600667408231368,0.06077303703232356,0.06086283394680584,2.0039129060007395E-06,1.980711151726276E-05,1.2698580490994966E-22,-8.789068528759157E-05,1.2698580490994966E-22,-8.789068528759157E-05
1.0700778642936597,0.06196173523170275,0.06204798631527287,2.105400883975185E-06,2.2359150139867153E-05,1.5473159795697772E-22,-8.206529210298825E-05,1.5473159795697772E-22,-8.206529210298825E-05
1.0800889877641824,0.06316735281647258,0.06324962735534735,2.2118070267689234E-06,2.4873600319183975E-05,1.884641459159556E-22,-7.580765161491903E-05,1.884641459159556E-22,-7.580765161491903E-05
1.0901001112347053,0.06438997499572782,0.06446785523075829,2.3233580300484864E-06,2.7339510616892116E-05,2.2945861414072246E-22,-6.91407784432147E-05,2.2945861414072246E-22,-6.91407784432147E-05
1.100111234705228,0.06562968347023888,0.06570276615211158,2.4402904488350278E-06,2.9746142902104818E-05,2.792581697511983E-22,-6.208908348933012E-05,2.792581697511983E-22,-6.208908348933012E-05
1.110122358175751,0.06688655633148319,0.06695445420829133,2.562851097540271E-06,3.208301351453552E-05,3.3972953442835527E-22,-5.46782680559443E-05,3.3972953442835527E-22,-5.46782680559443E-05
1.1201334816462736,0.06816066796055298,0.06822301119419388,2.6912974648868415E-06,3.4339932835074415E-05,4.1312988877959494E-22,-4.693521641553329E-05,4.1312988877959494E-22,-4.693521641553329E-05
1.1301446051167965,0.06945208892699936,0.06950852643516571,2.8258981442066684E-06,3.650704317716473E-05,5.0218741363106805E-22,-3.8887887208718935E-05,5.0218741363106805E-22,-3.8887887208718935E-05
1.1401557285873192,0.07076088588767201,0.07081108660851156,2.9669332796244065E-06,3.857485492091698E-05,6.101982066520557E-22,-3.0565204039685175E-05,6.101982066520557E-22,-3.0565204039685175E-05
1.150166852057842,0.07208712148561662,0.07213077556244135,3.114695028646991E-06,4.0534280820276526E-05,7.41142854144463E-22,-2.199694562216595E-05,7.41142854144463E-22,-2.199694562216595E-05
1.1601779755283648,0.07343085424909171,0.073467674132818,3.2694880416950015E-06,4.237666842174782E-05,8.998265845913771E-22,-1.3213635815481764E-05,8.998265845913771E-22,-1.3213635815481764E-05
1.1701890989988877,0.07479213849076927,0.07482185995806925,3.431629959125514E-06,4.409383054121862E-05,1.0920477028006671E-21,-4.246433875923158E-06,1.0920477028006671E-21,-4.246433875923158E-06
1.1802002224694104,0.07617102420718286,0.07619340729261918,3.6014519263116493E-06,4.5678073753178524E-05,1.3247999251403684E-21,4.872974765548135E-06,1.3247999251403684E-21,4.872974765548135E-06
1.1902113459399333,0.07756755697848983,0.07758238681919505,3.7792991273586315E-06,4.712222485425269E-05,1.6065153358614292E-21,1.4112486902702459E-05,1.6065153358614292E-21,1.4112486902702459E-05
1.200222469410456,0.07898177786861325,0.07898886546035586,3.965531338051597E-06,4.841965527029953E-05,1.9473559955731698E-21,2.3439688848406163E-05,1.9473559955731698E-21,2.3439688848406163E-05
1.2102335928809789,0.08041372332583215,0.08041290618958927,4.160523498646603E-06,4.956430338347723E-05,2.359563795594333E-21,3.282196235625485E-05,2.359563795594333E-21,3.282196235625485E-05
1.2202447163515018,0.08186342508388783,0.08185456784231268,4.364666307131382E-06,5.0550694762543566E-05,2.8578800135934123E-21,4.22265889161689E-05,2.8578800135934123E-21,4.22265889161689E-05
1.2302558398220245,0.08333091006367606,0.08331390492711271,4.578366833599449E-06,5.137396028633871E-05,3.460048242898051E-21,5.162085218499634E-05,3.460048242898051E-21,5.162085218499634E-05
1.2402669632925472,0.08481620027559546,0.08479096743754824,4.802049156396943E-06,5.202985215677139E-05,4.187417006709976E-21,6.0972138327394676E-05,4.187417006709976E-21,6.0972138327394676E-05
1.25027808676307,0.08631931272262275,0.0862858006648374,5.036155020719008E-06,5.251475780378922E-05,5.065661508102451E-21,7.024803405636619E-05,5.065661508102451E-21,7.024803405636619E-05
1.260289210233593,0.08784025930418711,0.08779844501173997,5.281144520348742E-06,5.28257116907182E-05,6.125647700461758E-21,7.941642217678202E-05,6.125647700461758E-21,7.941642217678202E-05
1.2703003337041157,0.08937904672091604,0.08932893580794161,5.5374968032500605E-06,5.2960405033987653E-05,7.404466301428023E-21,8.844557444899294E-05,7.404466301428023E-21,8.844557444899294E-05
1.2803114571746386,0.090935676380326,0.09087730312723767,5.805710801742169E-06,5.291719345664004E-05,8.946669646989775E-21,9.730424160319686E-05,8.946669646989775E-21,9.730424160319686E-05
1.2903225806451613,0.09251014430353145,0.09244357160680504,6.086305988002362E-06,5.2695102600163496E-05,1.0805750545577893E-20,0.00010596174034857965,1.0805750545577893E-20,0.00010596174034857965
1.3003337041156842,0.09410244103304709,0.09402776026884722,6.379823155660994E-06,5.2293831724038344E-05,1.3045909727138027E-20,0.0001143880372343534,1.3045909727138027E-20,0.0001143880372343534
1.3103448275862069,0.09571255154175791,0.09562988234488266,6.686825228271014E-06,5.1713755327011526E-05,1.5744167304592228E-20,0.0001225538292326549,1.5744167304592228E-20,0.0001225538292326549
1.3203559510567298,0.09734045514313283,0.09724994510294502,7.007898095453669E-06,5.095592282847237E-05,1.899288412899688E-20,0.00013043062092585515,1.899288412899688E-20,0.00013043062092585515
1.3303670745272524,0.09898612540275718,0.09888794967795046,7.343651477539398E-06,5.00220563523952E-05,2.290277132488578E-20,0.0001379907981931018,2.290277132488578E-20,0.0001379907981931018
1.3403781979977754,0.10064953005126118,0.10054389090548099,7.694719819543597E-06,4.891454666017642E-05,2.7606480992363435E-20,0.00014520769830291656,2.7606480992363435E-20,0.00014520769830291656
1.350389321468298,0.10233063089871978,0.10221775715922292,8.0617632153348E-06,4.763644728228805E-05,3.326288847415665E-20,0.00015205567633033677,3.326288847415665E-20,0.00015205567633033677
1.360400444938821,0.104029383750602,0.10390953019229116,8.44546836287333E-06,4.619146690203711E-05,4.006219720002281E-20,0.00015851016782845718,4.006219720002281E-20,0.00015851016782845718
1.3704115684093436,0.10574573832534513,0.10561918498266057,8.846549551416993E-06,4.4583960047821924E-05,4.8232021515681075E-20,0.00016454774769524824,4.8232021515681075E-20,0.00016454774769524824
1.3804226918798665,0.1074796381736328,0.10734668958291743,9.265749681612074E-06,4.2818916153160126E-05,5.804463175924326E-20,0.00017014618518723155,5.804463175924326E-20,0.00017014618518723155
1.3904338153503892,0.10923102059945215,0.10909200497453349,9.703841319405644E-06,4.0901947046396376E-05,6.982557996528127E-20,0.00017528449504193756,6.982557996528127E-20,0.00017528449504193756
1.4004449388209121,0.11099981658300923,0.11085508492685758,1.0161627784737724E-05,3.88392729344269E-05,8.396396489652713E-20,0.00017994298468109008,8.396396489652713E-20,0.00017994298468109008
1.410456062291435,0.11278595070557808,0.11263587586100911,1.063994427599087E-05,3.663770694692145E-05,1.0092464273182999E-19,0.0001841032974761093,1.0092464273182999E-19,0.0001841032974761093
1.4204671857619577,0.11458934107636193,0.11443431671884928,1.1139659031195436E-05,3.430463830954422E-05,1.2126274597600718E-19,0.00018774845206684393,1.2126274597600718E-19,0.00018774845206684393
1.4304783092324804,0.11640989926144277,0.11625033883719753,1.1661674527010784E-05,3.1848014216362175E-05,1.4564093952862295E-19,0.00019086287773338283,1.4564093952862295E-19,0.00019086287773338283
1.4404894327030033,0.11824753021489574,0.11808386582744858,1.2206928716521597E-05,2.9276320473215818E-05,1.748499211452905E-19,0.00019343244582940798,1.748499211452905E-19,0.00019343244582940798
1.4505005561735262,0.12010213221214536,0.11993481346074046,1.2776396306911627E-05,2.6598560985123824E-05,2.0983276584809105E-19,0.00019544449729377476,2.0983276584809105E-19,0.00019544449729377476
1.460511679644049,0.12197359678563907,0.12180308955881106,1.3371090078096676E-05,2.3824236161944283E-05,2.5171382265440114E-19,0.00019688786626490887,2.5171382265440114E-19,0.00019688786626490887
1.4705228031145716,0.12386180866291405,0.1236885938906743,1.3992062243421162E-05,2.0963320317444968E-05,3.0183300018341283E-19,0.00019775289983012495,3.0183300018341283E-19,0.00019775289983012495
1.4805339265850945,0.12576664570713195,0.12559121807523574,1.4640405853542609E-05,1.8026238137678908E-05,3.617864286489994E-19,0.00019803147394915687,3.617864286489994E-19,0.00019803147394915687
1.4905450500556174,0.12768797886015623,0.12751084548996078,1.5317256244651338E-05,1.5023840295147424E-05,4.3347466341711876E-19,0.00019771700559802002,4.3347466341711876E-19,0.00019771700559802002
1.5005561735261401,0.12962567208824602,0.12944735118569814,1.6023792532193012E-05,1.1967378285591805E-05,5.191598043303625E-19,0.00019680446118579606,5.191598043303625E-19,0.00019680446118579606
1.5105672969966628,0.13157958233043984,0.13140060180775304,1.6761239151283806E-05,8.868478564499102E-06,6.215331508040348E-19,0.000195290361303075,6.215331508040348E-19,0.000195290361303075
1.5205784204671857,0.1335495594497008,0.1333704555232957,1.753086744502923E-05,5.739116060465594E-06,7.437953016168356E-19,0.00019317278186657704,7.437953016168356E-19,0.00019317278186657704
1.5305895439377086,0.1355354461868955,0.13535676195518279,1.8333997301978768E-05,2.591587142420298E-06,8.897509477641198E-19,0.00019045135172993707,8.897509477641198E-19,0.00019045135172993707
1.5406006674082313,0.13753707811767715,0.1373593621222599,1.9171998843971774E-05,-5.615178824980587E-07,1.0639210053682858E-18,0.00018712724683576137,1.0639210053682858E-18,0.00018712724683576137
1.5506117908787542,0.13955428361234215,0.13937808838620566,2.0046294165648713E-05,-3.707342664043499E-06,1.2716752035533302E-18,0.0001832031809888601,1.2716752035533302E-18,0.0001832031809888601
1.5606229143492771,0.14158688379872877,0.1414127644049698,2.095835912692633E-05,-6.832793021129089E-06,1.5193887911841636E-18,0.00017868339333504526,1.5193887911841636E-18,0.00017868339333504526
1.5706340378197998,0.14363469252822564,0.14346320509284854,2.1909725199754167E-05,-9.924565396095172E-06,1.8146276702003044E-18,0.00017357363263403403,1.8146276702003044E-18,0.00017357363263403403
1.5806451612903225,0.14569751634495587,0.14552921658723428,2.2901981370493214E-05,-1.296917547663831E-05,2.166367017978971E-18,0.00016788113841885948,2.166367017978971E-18,0.00016788113841885948
1.5906562847608454,0.14777515445820208,0.14761059622206651,2.393677609927617E-05,-1.5952986911982407E-05,2.5852493454333826E-18,0.00016161461913773254,2.5852493454333826E-18,0.00016161461913773254
1.6006674082313683,0.14986739871813506,0.14970713250800594,2.5015819337732247E-05,-1.886224005091778E-05,3.0838889731619707E-18,0.0001547842273775514,3.0838889731619707E-18,0.0001547842273775514
1.610678531701891,0.1519740335949096,0.15181860511934353,2.614088460647926E-05,-2.168308063047814E-05,3.677231120258436E-18,0.0001474015322712169,3.677231120258436E-18,0.0001474015322712169
1.6206896551724137,0.15409483616118722,0.15394478488765131,2.731381113380489E-05,-2.4401588345304752E-05,4.38297521886729E-18,0.00013947948919358153,4.38297521886729E-18,0.00013947948919358153
1.6307007786429366,0.15622957607814458,0.15608543380217185,2.853650605698275E-05,-2.7003805229070026E-05,5.22207372653574E-18,0.00013103240685327156,5.22207372653574E-18,0.00013103240685327156
1.6407119021134595,0.15837801558502598,0.15824030501693942,2.9810946687684063E-05,-2.9475763780824528E-05,6.219319647749128E-18,0.00012207591188973966,6.219319647749128E-18,0.00012207591188973966
1.6507230255839822,0.16053990949229532,0.1604091428646159,3.11391828429717E-05,-3.1803514770614434E-05,7.404038242101213E-18,0.00011262691108678095,7.404038242101213E-18,0.00011262691108678095
1.660734149054505,0.16271500517844115,0.16259168287702025,3.2523339243376046E-05,-3.397315466039278E-05,8.81090104315874E-18,0.00010270355131534919,8.81090104315874E-18,0.00010270355131534919
1.6707452725250278,0.16490304259048771,0.1647876518123223,3.396561797957735E-05,-3.597085257789551E-05,1.0480883401738922E-17,9.232517731989231E-05,1.0480883401738922E-17,9.232517731989231E-05
1.6807563959955507,0.16710375424826143,0.16699676768886465,3.546830104923413E-05,-3.778287678293782E-05,1.2462390372525179E-17,8.15122874635225E-05,1.2462390372525179E-17,8.15122874635225E-05
1.6907675194660734,0.16931686525246187,0.1692187398255736,3.703375296551527E-05,-3.939562056742152E-05,1.4812579967803223E-17,7.028648754826185E-05,1.4812579967803223E-17,7.028648754826185E-05
1.700778642936596,0.17154209329658318,0.1714532688889092,3.866442343891592E-05,-4.0795627532223794E-05,1.7598917704099476E-17,5.867044282723924E-05,1.7598917704099476E-17,5.867044282723924E-05
